bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
ACB,77,1,,https://cafef.vn/acb-tien-phong-voi-cong-nghe-chong-lam-gia-ma-qr-thanh-toan-188240826073532344.chn,https://vnexpress.net/acb-trang-bi-cong-nghe-chong-lam-gia-tren-ma-qr-4785710.html,ACB: Tiên phong với công nghệ chống làm giả mã QR thanh toán - CafeF,ACB trang bị công nghệ chống làm giả trên mã QR - VnExpress
ACB,26,22,,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-9-2024-gui-online-12-thang-co-lai-suat-cao-nhat-lai-suat-cho-vay-binh-quan-khoan-vay-moi-la-676-nam-188240920181048252.chn,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-4-2024-lai-suat-tiet-kiem-cao-nhat-danh-cho-tien-gui-online-12-thang-lai-suat-cho-vay-binh-quan-la-678-nam-188240422003818206.chn,"Lãi suất ngân hàng ACB mới nhất tháng 9/2024: Gửi online 12 tháng có lãi suất cao nhất, lãi suất cho vay bình quân khoản vay mới là 6,76%/năm - CafeF","Lãi suất ngân hàng ACB mới nhất tháng 4/2024: Lãi suất tiết kiệm cao nhất dành cho tiền gửi online 12 tháng, lãi suất cho vay bình quân là 6,78%/năm - CafeF"
ACB,26,24,,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-9-2024-gui-online-12-thang-co-lai-suat-cao-nhat-lai-suat-cho-vay-binh-quan-khoan-vay-moi-la-676-nam-188240920181048252.chn,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-10-2024-gui-online-12-thang-co-lai-suat-tot-nhat-188241003211644385.chn,"Lãi suất ngân hàng ACB mới nhất tháng 9/2024: Gửi online 12 tháng có lãi suất cao nhất, lãi suất cho vay bình quân khoản vay mới là 6,76%/năm - CafeF",Lãi suất ngân hàng ACB mới nhất tháng 10/2024: Gửi online 12 tháng có lãi suất tốt nhất - CafeF
ACB,26,30,,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-9-2024-gui-online-12-thang-co-lai-suat-cao-nhat-lai-suat-cho-vay-binh-quan-khoan-vay-moi-la-676-nam-188240920181048252.chn,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-01-2024-bat-ngo-tang-doi-voi-tien-gui-online-12-thang-giam-manh-o-cac-ky-han-ngan-188240111143614923.chn,"Lãi suất ngân hàng ACB mới nhất tháng 9/2024: Gửi online 12 tháng có lãi suất cao nhất, lãi suất cho vay bình quân khoản vay mới là 6,76%/năm - CafeF","Lãi suất ngân hàng ACB mới nhất tháng 01/2024: Bất ngờ tăng đối với tiền gửi online 12 tháng, giảm mạnh ở các kỳ hạn ngắn - CafeF"
ACB,26,36,,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-9-2024-gui-online-12-thang-co-lai-suat-cao-nhat-lai-suat-cho-vay-binh-quan-khoan-vay-moi-la-676-nam-188240920181048252.chn,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-12-2024-gui-online-12-thang-co-lai-suat-cao-nhat-lai-suat-cho-vay-moi-binh-quan-giam-xuong-662-nam-188241222214947682.chn,"Lãi suất ngân hàng ACB mới nhất tháng 9/2024: Gửi online 12 tháng có lãi suất cao nhất, lãi suất cho vay bình quân khoản vay mới là 6,76%/năm - CafeF","Lãi suất ngân hàng ACB mới nhất tháng 12/2024: Gửi online 12 tháng có lãi suất cao nhất, lãi suất cho vay mới bình quân giảm xuống 6,62%/năm - CafeF"
ACB,26,40,,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-9-2024-gui-online-12-thang-co-lai-suat-cao-nhat-lai-suat-cho-vay-binh-quan-khoan-vay-moi-la-676-nam-188240920181048252.chn,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-3-2024-gui-online-12-thang-co-lai-suat-tot-nhat-188240305223547648.chn,"Lãi suất ngân hàng ACB mới nhất tháng 9/2024: Gửi online 12 tháng có lãi suất cao nhất, lãi suất cho vay bình quân khoản vay mới là 6,76%/năm - CafeF",Lãi suất ngân hàng ACB mới nhất tháng 3/2024: Gửi online 12 tháng có lãi suất tốt nhất - CafeF
ACB,54,41,,https://cafef.vn/acb-trien-khai-tin-dung-xanh-xa-hoi-dong-hanh-cung-doanh-nghiep-tang-truong-ben-vung-188240110080308117.chn,https://cafef.vn/acb-danh-2000-ty-dong-cho-tin-dung-xanh-xa-hoi-tao-co-hoi-tang-truong-ben-vung-cho-doanh-nghiep-18824010808045466.chn,"ACB triển khai tín dụng xanh/xã hội, đồng hành cùng doanh nghiệp tăng trưởng bền vững - CafeF","ACB dành 2.000 tỷ đồng cho Tín Dụng Xanh/Xã hội, tạo cơ hội tăng trưởng bền vững cho doanh nghiệp - CafeF"
ACB,26,50,,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-9-2024-gui-online-12-thang-co-lai-suat-cao-nhat-lai-suat-cho-vay-binh-quan-khoan-vay-moi-la-676-nam-188240920181048252.chn,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-8-2024-lai-suat-tiet-kiem-cao-nhat-danh-cho-tien-gui-online-12-thang-lai-suat-cho-vay-binh-quan-khoan-vay-moi-la-687-nam-188240822190107092.chn,"Lãi suất ngân hàng ACB mới nhất tháng 9/2024: Gửi online 12 tháng có lãi suất cao nhất, lãi suất cho vay bình quân khoản vay mới là 6,76%/năm - CafeF","Lãi suất ngân hàng ACB mới nhất tháng 8/2024: Lãi suất tiết kiệm cao nhất dành cho tiền gửi online 12 tháng, lãi suất cho vay bình quân khoản vay mới là 6,87%/năm - CafeF"
ACB,26,64,,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-9-2024-gui-online-12-thang-co-lai-suat-cao-nhat-lai-suat-cho-vay-binh-quan-khoan-vay-moi-la-676-nam-188240920181048252.chn,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-2-2024-muc-cao-nhat-danh-cho-tien-gui-online-12-thang-188240206014629745.chn,"Lãi suất ngân hàng ACB mới nhất tháng 9/2024: Gửi online 12 tháng có lãi suất cao nhất, lãi suất cho vay bình quân khoản vay mới là 6,76%/năm - CafeF",Lãi suất ngân hàng ACB mới nhất tháng 2/2024: Mức cao nhất dành cho tiền gửi online 12 tháng - CafeF
ACB,26,66,,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-9-2024-gui-online-12-thang-co-lai-suat-cao-nhat-lai-suat-cho-vay-binh-quan-khoan-vay-moi-la-676-nam-188240920181048252.chn,https://cafef.vn/lai-suat-ngan-hang-acb-moi-nhat-thang-5-2024-lai-suat-tiet-kiem-cao-nhat-danh-cho-tien-gui-online-12-thang-lai-suat-cho-vay-co-xu-huong-giam-18824052422243309.chn,"Lãi suất ngân hàng ACB mới nhất tháng 9/2024: Gửi online 12 tháng có lãi suất cao nhất, lãi suất cho vay bình quân khoản vay mới là 6,76%/năm - CafeF","Lãi suất ngân hàng ACB mới nhất tháng 5/2024: Lãi suất tiết kiệm cao nhất dành cho tiền gửi online 12 tháng, lãi suất cho vay có xu hướng giảm - CafeF"
