bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
BIDV,39,0,,https://cafef.vn/bidv-huy-dong-thanh-cong-5000-ty-dong-tien-gui-xanh-188240905071101389.chn,https://tapchinganhang.gov.vn/bidv-huy-dong-thanh-cong-5000-ti-dong-tien-gui-xanh-745.html,BIDV huy động thành công 5.000 tỷ đồng Tiền gửi xanh - CafeF,BIDV huy động thành công 5.000 tỉ đồng Tiền gửi xanh - Tạp chí Ngân hàng
BIDV,39,9,,https://cafef.vn/bidv-huy-dong-thanh-cong-5000-ty-dong-tien-gui-xanh-188240905071101389.chn,https://vnexpress.net/bidv-huy-dong-thanh-cong-5-000-ty-dong-tien-gui-xanh-4789469.html,BIDV huy động thành công 5.000 tỷ đồng Tiền gửi xanh - CafeF,BIDV huy động thành công 5.000 tỷ đồng tiền gửi xanh - VnExpress
BIDV,1,10,,https://tapchinganhang.gov.vn/dich-vu-thanh-toan-apple-pay-den-chu-the-cua-bidv-767.html,https://vnexpress.net/bidv-gioi-thieu-dich-vu-thanh-toan-apple-pay-4771612.html,Dịch vụ thanh toán Apple Pay đến chủ thẻ của BIDV - Tạp chí Ngân hàng,BIDV giới thiệu dịch vụ thanh toán Apple Pay - VnExpress
BIDV,36,11,,https://cafef.vn/bidv-va-mobifone-hop-tac-ra-mat-san-pham-loa-than-tai-188241225101736634.chn,https://vnexpress.net/bidv-hop-tac-mobifone-ra-mat-loa-than-tai-4831599.html,BIDV và MobiFone hợp tác ra mắt sản phẩm Loa Thần Tài - CafeF,BIDV hợp tác MobiFone ra mắt Loa Thần Tài - VnExpress
BIDV,43,28,,https://cafef.vn/lai-suat-tiet-kiem-bidv-moi-nhat-thang-8-2024-lan-dau-tang-sau-gan-2-nam-muc-cao-nhat-danh-cho-ky-han-24-thang-188240811182147138.chn,https://cafef.vn/lai-suat-tiet-kiem-bidv-moi-nhat-thang-11-2024-gui-ky-han-nao-co-lai-suat-cao-nhat-188241110164924559.chn,"Lãi suất tiết kiệm BIDV mới nhất tháng 8/2024: Lần đầu tăng sau gần 2 năm, mức cao nhất dành cho kỳ hạn 24 tháng - CafeF",Lãi suất tiết kiệm BIDV mới nhất tháng 11/2024: Gửi kỳ hạn nào có lãi suất cao nhất? - CafeF
BIDV,73,46,,https://cafef.vn/lai-suat-ngan-hang-bidv-moi-nhat-thang-02-2024-muc-cao-nhat-la-bao-nhieu-188240205010402829.chn,https://cafef.vn/lai-suat-ngan-hang-bidv-moi-nhat-thang-3-2024-ky-han-24-thang-co-lai-suat-tot-nhat-188240307225157989.chn,Lãi suất ngân hàng BIDV mới nhất tháng 02/2024: Mức cao nhất là bao nhiêu? - CafeF,Lãi suất ngân hàng BIDV mới nhất tháng 3/2024: Kỳ hạn 24 tháng có lãi suất tốt nhất - CafeF
BIDV,43,64,,https://cafef.vn/lai-suat-tiet-kiem-bidv-moi-nhat-thang-8-2024-lan-dau-tang-sau-gan-2-nam-muc-cao-nhat-danh-cho-ky-han-24-thang-188240811182147138.chn,https://cafef.vn/lai-suat-ngan-hang-bidv-moi-nhat-thang-6-2024-muc-cao-nhat-danh-cho-tien-gui-online-24-thang-188240603204821238.chn,"Lãi suất tiết kiệm BIDV mới nhất tháng 8/2024: Lần đầu tăng sau gần 2 năm, mức cao nhất dành cho kỳ hạn 24 tháng - CafeF",Lãi suất ngân hàng BIDV mới nhất tháng 6/2024: Gửi online 24 tháng có lãi suất tốt nhất - CafeF
BIDV,43,66,,https://cafef.vn/lai-suat-tiet-kiem-bidv-moi-nhat-thang-8-2024-lan-dau-tang-sau-gan-2-nam-muc-cao-nhat-danh-cho-ky-han-24-thang-188240811182147138.chn,https://cafef.vn/lai-suat-tiet-kiem-bidv-moi-nhat-thang-7-2024-muc-cao-nhat-la-48-nam-18824070117033179.chn,"Lãi suất tiết kiệm BIDV mới nhất tháng 8/2024: Lần đầu tăng sau gần 2 năm, mức cao nhất dành cho kỳ hạn 24 tháng - CafeF","Lãi suất tiết kiệm BIDV mới nhất tháng 7/2024: Mức cao nhất là 4,8%/năm - CafeF"
BIDV,43,69,,https://cafef.vn/lai-suat-tiet-kiem-bidv-moi-nhat-thang-8-2024-lan-dau-tang-sau-gan-2-nam-muc-cao-nhat-danh-cho-ky-han-24-thang-188240811182147138.chn,https://cafef.vn/lai-suat-tiet-kiem-bidv-moi-nhat-thang-9-2024-muc-cao-nhat-danh-cho-tien-gui-online-24-thang-188240917184218468.chn,"Lãi suất tiết kiệm BIDV mới nhất tháng 8/2024: Lần đầu tăng sau gần 2 năm, mức cao nhất dành cho kỳ hạn 24 tháng - CafeF",Lãi suất tiết kiệm BIDV mới nhất tháng 9/2024: Mức cao nhất dành cho tiền gửi online 24 tháng - CafeF
BIDV,73,72,,https://cafef.vn/lai-suat-ngan-hang-bidv-moi-nhat-thang-02-2024-muc-cao-nhat-la-bao-nhieu-188240205010402829.chn,https://cafef.vn/lai-suat-ngan-hang-bidv-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-tien-gui-12-thang-lai-suat-cho-vay-binh-quan-la-649-nam-188240406163939007.chn,Lãi suất ngân hàng BIDV mới nhất tháng 02/2024: Mức cao nhất là bao nhiêu? - CafeF,"Lãi suất ngân hàng BIDV tháng 4: Lãi suất tiết kiệm cao nhất dành cho tiền gửi 12 tháng, lãi suất cho vay bình quân là 6,49%/năm - CafeF"
BIDV,76,77,,https://cafef.vn/lai-suat-tiet-kiem-ngan-hang-bidv-thang-1-2024-cao-nhat-la-53-nam-nhieu-ky-han-giam-manh-so-voi-truoc-do-1-thang-188240108221644459.chn,https://cafef.vn/lai-suat-ngan-hang-bidv-cuoi-thang-1-2024-giam-them-gui-1-2-thang-chi-con-19-nam-188240127075116077.chn,"Lãi suất tiết kiệm ngân hàng BIDV tháng 1/2024: Cao nhất là 5,3%/năm, nhiều kỳ hạn giảm mạnh so với trước đó 1 tháng - CafeF","Lãi suất ngân hàng BIDV cuối tháng 1/2024: Giảm thêm, gửi 1-2 tháng chỉ còn 1,9%/năm - CafeF"
